frame,time_s,face_lm33,face_lm133,face_lm362,face_lm263,face_lm61,face_lm291,face_lm105,face_lm334,left_hand_lm00,left_hand_lm01,left_hand_lm02,left_hand_lm03,left_hand_lm04,left_hand_lm05,left_hand_lm06,left_hand_lm07,left_hand_lm08,left_hand_lm09,left_hand_lm10,left_hand_lm11,left_hand_lm12,left_hand_lm13,left_hand_lm14,left_hand_lm15,left_hand_lm16,left_hand_lm17,left_hand_lm18,left_hand_lm19,left_hand_lm20,right_hand_lm00,right_hand_lm01,right_hand_lm02,right_hand_lm03,right_hand_lm04,right_hand_lm05,right_hand_lm06,right_hand_lm07,right_hand_lm08,right_hand_lm09,right_hand_lm10,right_hand_lm11,right_hand_lm12,right_hand_lm13,right_hand_lm14,right_hand_lm15,right_hand_lm16,right_hand_lm17,right_hand_lm18,right_hand_lm19,right_hand_lm20
10,0.33333,[0.484136 0.214708 0.007327],[0.501603 0.215968 0.003857],[0.524725 0.216922 0.003216],[0.542825 0.217065 0.005988],[0.495325 0.277075 0.001655],[0.529024 0.27863 0.000877],[0.487133 0.193039 -0.001627],[0.539649 0.19548 -0.002806],[0.612248 0.655317 -0.0],[0.600482 0.656124 -0.004956],[0.585896 0.663338 -0.008236],[0.576732 0.667784 -0.011671],[0.57096 0.668443 -0.014985],[0.579977 0.68118 -0.005511],[0.571683 0.677381 -0.013711],[0.568273 0.663512 -0.020245],[0.566118 0.650789 -0.023628],[0.587721 0.686137 -0.005897],[0.582665 0.676692 -0.013837],[0.585187 0.661531 -0.016984],[0.588021 0.650967 -0.017779],[0.597172 0.688628 -0.007154],[0.592607 0.681243 -0.014089],[0.594185 0.668315 -0.013298],[0.596994 0.658596 -0.010955],[0.607442 0.688822 -0.008938],[0.602508 0.686451 -0.013199],[0.601862 0.677909 -0.011438],[0.603075 0.670986 -0.00871],[0.430457 0.745178 -0.0],[0.454635 0.742159 -0.007734],[0.471689 0.759198 -0.010384],[0.483462 0.780559 -0.011226],[0.49391 0.796043 -0.011038],[0.459225 0.791775 -0.009781],[0.480243 0.81901 -0.014051],[0.494353 0.826542 -0.016202],[0.50406 0.828127 -0.016513],[0.45085 0.801839 -0.007028],[0.473095 0.830059 -0.011118],[0.489544 0.835762 -0.012361],[0.500798 0.83354 -0.012208],[0.447092 0.805407 -0.00474],[0.468196 0.830828 -0.00845],[0.483616 0.836623 -0.009614],[0.494761 0.835523 -0.009328],[0.44777 0.805006 -0.002916],[0.464976 0.825649 -0.005666],[0.477769 0.832229 -0.006306],[0.487794 0.83289 -0.005862]
11,0.36667,[0.484322 0.215766 0.007127],[0.501871 0.216889 0.003958],[0.524931 0.217626 0.003772],[0.542849 0.217508 0.006795],[0.496155 0.277998 0.00082],[0.529514 0.279027 0.000722],[0.487395 0.193939 -0.001381],[0.539718 0.195753 -0.00171],[0.603428 0.673184 0.0],[0.604478 0.661737 -0.008395],[0.599628 0.645858 -0.01407],[0.596119 0.631397 -0.01839],[0.594196 0.622136 -0.022057],[0.589046 0.664347 -0.015967],[0.571569 0.655016 -0.022964],[0.563595 0.641357 -0.026536],[0.558972 0.629262 -0.028162],[0.585331 0.669929 -0.013697],[0.576981 0.65441 -0.020652],[0.577945 0.642726 -0.021996],[0.579403 0.63425 -0.022297],[0.583274 0.670683 -0.011705],[0.574856 0.656101 -0.016934],[0.57427 0.645467 -0.016131],[0.574444 0.638514 -0.014793],[0.580829 0.669121 -0.010381],[0.572099 0.65705 -0.013197],[0.568899 0.647683 -0.012427],[0.56708 0.641095 -0.011297],[0.431742 0.745331 -0.0],[0.455972 0.743222 -0.00623],[0.473153 0.760763 -0.008027],[0.4849 0.781369 -0.008463],[0.494774 0.796435 -0.007889],[0.46138 0.793344 -0.006688],[0.482148 0.81939 -0.010541],[0.495976 0.826605 -0.012694],[0.505269 0.827831 -0.013052],[0.453143 0.803707 -0.004695],[0.475426 0.830332 -0.008288],[0.491494 0.835449 -0.009705],[0.502296 0.832638 -0.009673],[0.449352 0.807881 -0.003207],[0.470671 0.831939 -0.006566],[0.485801 0.837064 -0.007889],[0.496657 0.835359 -0.007725],[0.449816 0.807879 -0.002115],[0.467322 0.82763 -0.004523],[0.479969 0.833669 -0.0051],[0.489888 0.833646 -0.00463]
12,0.4,[0.485006 0.215511 0.006098],[0.502569 0.216916 0.003124],[0.525674 0.217974 0.00325],[0.543502 0.218119 0.006467],[0.496591 0.278868 0.001407],[0.529935 0.280241 0.001707],[0.488291 0.193694 -0.002848],[0.540722 0.196481 -0.002607],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[None None None],[0.432765 0.745506 -0.0],[0.456776 0.742475 -0.006326],[0.474271 0.759845 -0.007993],[0.486108 0.780668 -0.008298],[0.495742 0.796119 -0.007526],[0.464383 0.793773 -0.005948],[0.484046 0.819874 -0.009591],[0.49759 0.826695 -0.011713],[0.506593 0.827653 -0.012058],[0.455754 0.803764 -0.00388],[0.477189 0.830699 -0.007007],[0.492829 0.835482 -0.008221],[0.502959 0.832489 -0.008089],[0.451471 0.807658 -0.002412],[0.471739 0.832196 -0.005435],[0.486688 0.837312 -0.006691],[0.497192 0.835641 -0.006522],[0.451285 0.807516 -0.001393],[0.467971 0.827308 -0.003601],[0.480509 0.833713 -0.00422],[0.490152 0.833937 -0.003807]
13,0.43333,[0.485664 0.216231 0.006044],[0.503165 0.217573 0.00322],[0.526257 0.218628 0.00357],[0.543924 0.218711 0.006908],[0.49794 0.280056 0.000852],[0.530245 0.281054 0.001388],[0.488996 0.19472 -0.002798],[0.541042 0.197416 -0.002158],[0.598489 0.626497 0.0],[0.581856 0.627239 -0.005883],[0.562979 0.614402 -0.010249],[0.551236 0.597726 -0.013067],[0.54236 0.585898 -0.015657],[0.575417 0.623695 -0.017968],[0.570625 0.612712 -0.02381],[0.569861 0.602503 -0.026571],[0.569872 0.59377 -0.028169],[0.5879 0.619693 -0.017642],[0.583159 0.60389 -0.021556],[0.581925 0.591982 -0.021737],[0.58158 0.584948 -0.022888],[0.599764 0.613659 -0.017032],[0.59445 0.595856 -0.021515],[0.592134 0.585397 -0.020718],[0.590856 0.580542 -0.020302],[0.609623 0.606952 -0.016513],[0.60406 0.589294 -0.020181],[0.600785 0.581709 -0.01936],[0.598977 0.57835 -0.018755],[0.433409 0.746524 -0.0],[0.457807 0.742818 -0.006022],[0.475712 0.760418 -0.007222],[0.487923 0.781008 -0.00709],[0.497974 0.795873 -0.005902],[0.465447 0.793755 -0.005521],[0.485735 0.819456 -0.008846],[0.499563 0.826243 -0.010653],[0.508812 0.827605 -0.010855],[0.457426 0.804455 -0.003557],[0.479401 0.831104 -0.006582],[0.495192 0.835977 -0.007669],[0.505486 0.833303 -0.007416],[0.453627 0.808932 -0.002174],[0.474807 0.832596 -0.005142],[0.489621 0.837355 -0.006333],[0.500031 0.83586 -0.006108],[0.45387 0.809097 -0.001225],[0.471286 0.828276 -0.003365],[0.48385 0.834152 -0.003915],[0.493454 0.83418 -0.003474]
14,0.46667,[0.486539 0.216758 0.005128],[0.504211 0.218555 0.002735],[0.527075 0.219953 0.003779],[0.544658 0.220147 0.00755],[0.498346 0.280468 0.000607],[0.530931 0.281804 0.00215],[0.49041 0.195363 -0.003683],[0.542139 0.198975 -0.001741],[0.601719 0.609032 0.0],[0.581874 0.61016 -0.003002],[0.562877 0.598356 -0.006086],[0.549884 0.583263 -0.008501],[0.540492 0.571173 -0.010823],[0.572401 0.605697 -0.010624],[0.566377 0.58836 -0.015951],[0.565077 0.572857 -0.019007],[0.565727 0.560745 -0.020709],[0.584415 0.599688 -0.01139],[0.576623 0.579613 -0.014854],[0.57401 0.56512 -0.016257],[0.573557 0.555367 -0.018202],[0.59552 0.592256 -0.011988],[0.587921 0.572539 -0.015208],[0.58341 0.56007 -0.014899],[0.580978 0.552643 -0.015151],[0.605176 0.5841 -0.012596],[0.598463 0.567942 -0.014562],[0.593141 0.558344 -0.013876],[0.589811 0.552563 -0.013624],[0.435157 0.746076 -0.0],[0.459824 0.742786 -0.005835],[0.477849 0.760163 -0.006798],[0.490023 0.781016 -0.006403],[0.500219 0.795931 -0.004964],[0.466712 0.794263 -0.005242],[0.487829 0.81929 -0.007698],[0.501497 0.825623 -0.008798],[0.510491 0.827384 -0.008632],[0.45849 0.804741 -0.003136],[0.481294 0.831186 -0.005587],[0.497202 0.835445 -0.006254],[0.507271 0.832949 -0.00577],[0.454593 0.808687 -0.001543],[0.476306 0.832356 -0.004166],[0.491314 0.836676 -0.005148],[0.501408 0.835294 -0.004821],[0.454931 0.808513 -0.000348],[0.472487 0.828058 -0.002291],[0.485164 0.83364 -0.002734],[0.494554 0.833773 -0.002256]
15,0.5,[0.486829 0.2172 0.005473],[0.50437 0.218933 0.002954],[0.527052 0.220244 0.003686],[0.544553 0.220356 0.007215],[0.49858 0.281015 0.000832],[0.531444 0.282169 0.001904],[0.490417 0.195936 -0.003281],[0.541701 0.199449 -0.001905],[0.598843 0.582718 -0.0],[0.578794 0.585534 -0.006709],[0.556655 0.5752 -0.011049],[0.54154 0.561729 -0.013563],[0.531224 0.550857 -0.015638],[0.575401 0.580266 -0.018341],[0.560816 0.570721 -0.023135],[0.554545 0.561457 -0.024682],[0.552012 0.552922 -0.025263],[0.587078 0.575583 -0.017007],[0.566451 0.565142 -0.020441],[0.55984 0.558053 -0.02024],[0.559655 0.554364 -0.020842],[0.596362 0.569443 -0.015204],[0.574928 0.555869 -0.019415],[0.569167 0.550569 -0.018105],[0.569802 0.548865 -0.017021],[0.602306 0.56242 -0.013439],[0.585351 0.549396 -0.017307],[0.579564 0.544331 -0.016516],[0.579793 0.542859 -0.015562],[0.436247 0.745344 -0.0],[0.4608 0.741847 -0.006159],[0.478802 0.759335 -0.007363],[0.490839 0.78015 -0.007244],[0.501225 0.794965 -0.00609],[0.468138 0.794408 -0.005164],[0.488843 0.819155 -0.007927],[0.502312 0.825523 -0.009488],[0.511166 0.827096 -0.009627],[0.459491 0.804588 -0.003042],[0.48196 0.830801 -0.005508],[0.497509 0.834774 -0.006463],[0.507328 0.831791 -0.006229],[0.455344 0.808321 -0.001498],[0.476706 0.831728 -0.004217],[0.491586 0.835907 -0.005317],[0.501601 0.83425 -0.005047],[0.455511 0.808196 -0.000389],[0.473062 0.827727 -0.00243],[0.485681 0.833449 -0.002888],[0.495119 0.833511 -0.002385]
16,0.53333,[0.487043 0.218157 0.005057],[0.504536 0.219774 0.002723],[0.52725 0.221041 0.003792],[0.544583 0.221096 0.007522],[0.499502 0.281958 0.000438],[0.531522 0.282622 0.001948],[0.490588 0.19663 -0.003539],[0.542007 0.199846 -0.001567],[0.58936 0.574687 0.0],[0.592782 0.549816 -0.010071],[0.584811 0.52786 -0.01585],[0.570349 0.519741 -0.018809],[0.557329 0.51672 -0.021175],[0.583841 0.553703 -0.025575],[0.566971 0.537825 -0.032724],[0.558514 0.528504 -0.034258],[0.553807 0.521063 -0.033976],[0.574737 0.571592 -0.021955],[0.551915 0.557118 -0.02861],[0.540084 0.545539 -0.028338],[0.534158 0.537088 -0.027516],[0.567419 0.58271 -0.017771],[0.547148 0.567214 -0.022825],[0.54246 0.555447 -0.020722],[0.54265 0.54904 -0.018243],[0.562241 0.587359 -0.014013],[0.546521 0.573666 -0.016438],[0.542534 0.56292 -0.014214],[0.543082 0.556693 -0.01192],[0.435889 0.746259 -0.0],[0.461258 0.742861 -0.006353],[0.48001 0.760043 -0.007763],[0.492588 0.781214 -0.007768],[0.503089 0.796677 -0.00675],[0.468491 0.794011 -0.006116],[0.489585 0.819402 -0.008747],[0.503188 0.826066 -0.010054],[0.51244 0.828421 -0.010119],[0.459741 0.804514 -0.00387],[0.482375 0.830995 -0.006207],[0.498431 0.835488 -0.006906],[0.508865 0.83336 -0.006626],[0.455471 0.808363 -0.002141],[0.476987 0.832263 -0.00473],[0.492197 0.836926 -0.005675],[0.502622 0.835941 -0.005461],[0.455562 0.808321 -0.000838],[0.473043 0.827975 -0.002926],[0.485795 0.833918 -0.00337],[0.495396 0.834624 -0.002936]
17,0.56667,[0.486927 0.218595 0.005477],[0.504601 0.220523 0.002919],[0.527428 0.22186 0.003698],[0.545163 0.221739 0.007286],[0.499398 0.282353 0.000576],[0.531579 0.283088 0.001612],[0.490517 0.196978 -0.003178],[0.542437 0.200262 -0.001743],[0.578462 0.568035 0.0],[0.58608 0.540209 -0.00915],[0.579411 0.513736 -0.014182],[0.563351 0.502649 -0.01674],[0.548623 0.497724 -0.018841],[0.579554 0.538653 -0.022926],[0.565076 0.518466 -0.029116],[0.556544 0.507779 -0.030563],[0.548694 0.499368 -0.031015],[0.566478 0.554871 -0.020385],[0.546584 0.533492 -0.025965],[0.534579 0.52011 -0.026301],[0.526667 0.510355 -0.026784],[0.555963 0.564354 -0.017465],[0.536072 0.541605 -0.022155],[0.526194 0.525175 -0.022647],[0.52 0.513745 -0.022927],[0.548347 0.567472 -0.014847],[0.534197 0.545431 -0.017735],[0.52805 0.529865 -0.017741],[0.524993 0.519294 -0.017838],[0.437068 0.746364 -0.0],[0.462522 0.742912 -0.005894],[0.480483 0.760307 -0.007326],[0.492697 0.781557 -0.007427],[0.503275 0.797169 -0.00646],[0.469372 0.794129 -0.005785],[0.490274 0.820636 -0.008371],[0.503949 0.827302 -0.009386],[0.512911 0.828685 -0.009073],[0.460527 0.804749 -0.003714],[0.483403 0.831547 -0.005799],[0.499168 0.835981 -0.006196],[0.509268 0.833523 -0.005685],[0.456218 0.808867 -0.00213],[0.478155 0.833185 -0.004488],[0.493128 0.837563 -0.00508],[0.503301 0.835884 -0.004616],[0.456383 0.80907 -0.000925],[0.47423 0.829186 -0.002804],[0.486896 0.834958 -0.002954],[0.496486 0.835007 -0.002265]
18,0.6,[0.486921 0.218727 0.005206],[0.504598 0.220722 0.0028],[0.527535 0.222099 0.003835],[0.545134 0.222008 0.007577],[0.499146 0.282453 0.000456],[0.531649 0.283125 0.001863],[0.490654 0.196924 -0.003367],[0.542497 0.200625 -0.001471],[0.568915 0.549019 0.0],[0.57653 0.520581 -0.009605],[0.569891 0.496558 -0.014931],[0.551869 0.486982 -0.01791],[0.536102 0.483836 -0.020564],[0.579394 0.519507 -0.022406],[0.565267 0.502134 -0.028704],[0.553117 0.492991 -0.030778],[0.541745 0.484897 -0.03209],[0.566046 0.53775 -0.020306],[0.544836 0.518631 -0.026012],[0.530562 0.506184 -0.026929],[0.521342 0.495758 -0.028213],[0.553705 0.549457 -0.017918],[0.532029 0.526666 -0.023703],[0.521239 0.510486 -0.024708],[0.515051 0.498994 -0.02527],[0.543303 0.553963 -0.015819],[0.529112 0.530545 -0.019746],[0.522262 0.514389 -0.020132],[0.518429 0.50325 -0.020602],[0.437403 0.746356 -0.0],[0.462872 0.743214 -0.005702],[0.480713 0.760959 -0.006763],[0.493098 0.781931 -0.006574],[0.503839 0.797266 -0.005314],[0.470087 0.795577 -0.004282],[0.490484 0.820949 -0.006348],[0.503668 0.827911 -0.00741],[0.512375 0.829982 -0.007278],[0.461148 0.80614 -0.002178],[0.483514 0.832233 -0.003721],[0.498667 0.83685 -0.004231],[0.508325 0.834559 -0.003901],[0.456753 0.810048 -0.000607],[0.478071 0.833707 -0.002612],[0.492459 0.838255 -0.003391],[0.502206 0.836681 -0.003098],[0.456919 0.81004 0.000572],[0.474258 0.829677 -0.001055],[0.48664 0.835658 -0.001267],[0.496055 0.835764 -0.000663]
19,0.63333,[0.48715 0.218627 0.005182],[0.50478 0.220512 0.002708],[0.527548 0.22177 0.003577],[0.545102 0.221602 0.007177],[0.499928 0.283673 0.000599],[0.531633 0.283957 0.001826],[0.490647 0.19723 -0.003579],[0.542365 0.20068 -0.002021],[0.566789 0.546481 0.0],[0.571041 0.516509 -0.006524],[0.561664 0.492739 -0.013434],[0.544485 0.481094 -0.018962],[0.530298 0.475221 -0.025302],[0.572972 0.503565 -0.023739],[0.555986 0.4818 -0.033496],[0.543063 0.469463 -0.038482],[0.531515 0.460052 -0.041449],[0.562898 0.519804 -0.024689],[0.541385 0.498257 -0.034463],[0.525772 0.483541 -0.038929],[0.514329 0.472706 -0.042258],[0.551835 0.532684 -0.02507],[0.531085 0.509376 -0.033431],[0.518008 0.493345 -0.035863],[0.509021 0.482354 -0.037026],[0.541242 0.541207 -0.025352],[0.526034 0.519319 -0.031985],[0.518178 0.503849 -0.033758],[0.513266 0.492936 -0.034496],[0.437609 0.746589 -0.0],[0.462861 0.743558 -0.005313],[0.481027 0.76152 -0.006246],[0.493458 0.782729 -0.005931],[0.504043 0.79818 -0.004547],[0.471237 0.796187 -0.004471],[0.491765 0.82167 -0.006381],[0.504559 0.828203 -0.007124],[0.512929 0.830078 -0.006728],[0.461998 0.806534 -0.002436],[0.484355 0.832737 -0.003842],[0.499179 0.837015 -0.004066],[0.508497 0.834685 -0.003496],[0.457173 0.810264 -0.000856],[0.478367 0.833951 -0.002633],[0.492497 0.838496 -0.003173],[0.501985 0.837098 -0.002743],[0.456718 0.81017 0.000367],[0.473812 0.830048 -0.000984],[0.486039 0.836176 -0.001007],[0.495329 0.83651 -0.000299]
20,0.66667,[0.487177 0.218809 0.005375],[0.504757 0.220852 0.002698],[0.527449 0.222207 0.003279],[0.545156 0.222057 0.006722],[0.499257 0.282873 0.001062],[0.531268 0.283699 0.001837],[0.490656 0.197261 -0.003494],[0.542496 0.20085 -0.002464],[0.549419 0.519555 0.0],[0.55869 0.493608 -0.010471],[0.553402 0.469991 -0.017159],[0.538502 0.453228 -0.021412],[0.52422 0.442894 -0.025561],[0.561453 0.492885 -0.026159],[0.545061 0.468683 -0.034],[0.533569 0.455972 -0.036809],[0.523622 0.446722 -0.038292],[0.549663 0.510858 -0.024218],[0.528362 0.48399 -0.031138],[0.514796 0.468346 -0.032671],[0.506097 0.458178 -0.034406],[0.537852 0.522139 -0.022031],[0.51904 0.495802 -0.028144],[0.507905 0.480006 -0.029249],[0.500246 0.468839 -0.030223],[0.527469 0.526798 -0.020223],[0.514799 0.50434 -0.024601],[0.507867 0.489674 -0.025318],[0.502922 0.479039 -0.026206],[0.437902 0.745965 -0.0],[0.463274 0.742591 -0.005102],[0.481432 0.760926 -0.005606],[0.493745 0.782404 -0.004953],[0.504341 0.797978 -0.003222],[0.471524 0.796481 -0.003016],[0.491892 0.82139 -0.004555],[0.504619 0.827704 -0.005372],[0.512978 0.829483 -0.005121],[0.462529 0.80701 -0.001009],[0.484814 0.832665 -0.002163],[0.499359 0.836531 -0.002631],[0.508368 0.833744 -0.002244],[0.457856 0.810887 0.000487],[0.478996 0.834202 -0.001193],[0.492894 0.838187 -0.00191],[0.502056 0.836341 -0.001566],[0.457496 0.810914 0.001624],[0.474591 0.830724 0.000412],[0.486728 0.836534 0.000361],[0.495729 0.836469 0.001053]
21,0.7,[0.48706 0.219459 0.005096],[0.504824 0.221276 0.002588],[0.527678 0.22242 0.003455],[0.545413 0.22208 0.007064],[0.49952 0.282988 0.000926],[0.531877 0.283565 0.002085],[0.490493 0.19821 -0.003804],[0.542631 0.201073 -0.002232],[0.539153 0.508999 0.0],[0.547833 0.481341 -0.008743],[0.540662 0.459776 -0.014406],[0.523184 0.444513 -0.01788],[0.508509 0.437228 -0.021221],[0.553546 0.480991 -0.021273],[0.539797 0.455038 -0.027351],[0.528882 0.44166 -0.029502],[0.519472 0.431804 -0.030603],[0.5415 0.497386 -0.019518],[0.5214 0.468954 -0.025159],[0.50931 0.452332 -0.026385],[0.502621 0.441656 -0.027593],[0.529027 0.508221 -0.017546],[0.509464 0.480785 -0.022973],[0.499628 0.462681 -0.02453],[0.494191 0.450722 -0.025399],[0.517749 0.513069 -0.015696],[0.50555 0.489924 -0.019314],[0.499968 0.473703 -0.020039],[0.496839 0.462204 -0.020735],[0.437279 0.746227 -0.0],[0.46334 0.743693 -0.005005],[0.482086 0.761812 -0.005783],[0.494513 0.783012 -0.005394],[0.504845 0.798518 -0.00397],[0.470915 0.795685 -0.00435],[0.492215 0.82131 -0.006355],[0.505194 0.827689 -0.007209],[0.51367 0.829606 -0.006883],[0.461713 0.805994 -0.002497],[0.484503 0.833052 -0.004256],[0.499455 0.836829 -0.00464],[0.508592 0.833847 -0.004044],[0.457045 0.809705 -0.001049],[0.478556 0.834139 -0.003022],[0.492896 0.838227 -0.003548],[0.502159 0.836367 -0.002992],[0.456798 0.80956 8e-05],[0.474312 0.830185 -0.001291],[0.486804 0.836197 -0.001185],[0.495957 0.836297 -0.000332]
22,0.73333,[0.4875 0.219812 0.004638],[0.505098 0.221601 0.002178],[0.52781 0.222852 0.003056],[0.545375 0.22277 0.006658],[0.499839 0.284067 0.001414],[0.532251 0.284488 0.002646],[0.490945 0.198579 -0.004498],[0.542647 0.201976 -0.002899],[0.535259 0.513756 0.0],[0.547483 0.48668 -0.007537],[0.540347 0.45781 -0.01215],[0.524928 0.435076 -0.014699],[0.512353 0.420185 -0.016204],[0.53158 0.474112 -0.018016],[0.513238 0.438764 -0.02363],[0.512652 0.431523 -0.024655],[0.514809 0.431979 -0.023997],[0.518294 0.484352 -0.015427],[0.498039 0.443795 -0.019913],[0.50143 0.438044 -0.019948],[0.507575 0.443047 -0.019212],[0.50868 0.491995 -0.012451],[0.491866 0.454192 -0.015557],[0.496843 0.449955 -0.013721],[0.502382 0.455168 -0.011808],[0.502397 0.495744 -0.009601],[0.490861 0.466109 -0.010796],[0.494867 0.460875 -0.008442],[0.499497 0.465243 -0.006306],[0.437734 0.746021 -0.0],[0.463717 0.743899 -0.00495],[0.481987 0.761795 -0.005757],[0.49428 0.783015 -0.005492],[0.504778 0.798651 -0.004169],[0.470579 0.795711 -0.003668],[0.491878 0.821369 -0.005779],[0.505268 0.828304 -0.006855],[0.514051 0.830805 -0.006759],[0.461643 0.806259 -0.002087],[0.484389 0.833038 -0.003841],[0.499622 0.837876 -0.004437],[0.509353 0.836018 -0.004131],[0.457284 0.81033 -0.001003],[0.478888 0.834577 -0.003091],[0.493257 0.839429 -0.003717],[0.502899 0.838325 -0.003302],[0.457399 0.81052 -0.000273],[0.474987 0.831013 -0.001844],[0.487442 0.837351 -0.001825],[0.496948 0.837834 -0.001067]
23,0.76667,[0.487201 0.220272 0.00569],[0.504944 0.222239 0.002997],[0.528019 0.223664 0.003586],[0.545938 0.223672 0.007059],[0.499728 0.284355 0.000701],[0.531955 0.284938 0.001488],[0.490765 0.198798 -0.00307],[0.543039 0.202501 -0.002007],[0.53324 0.499689 0.0],[0.536111 0.473518 -0.002066],[0.52154 0.449365 -0.006025],[0.502699 0.434407 -0.009108],[0.488389 0.426268 -0.012087],[0.530796 0.449313 -0.01441],[0.515439 0.414291 -0.02008],[0.509579 0.411017 -0.021351],[0.509092 0.412902 -0.020819],[0.52116 0.461307 -0.015224],[0.503179 0.424373 -0.018707],[0.495508 0.419537 -0.017686],[0.494482 0.421857 -0.016639],[0.510379 0.475196 -0.015569],[0.489216 0.444867 -0.017668],[0.484696 0.439928 -0.015504],[0.485835 0.439794 -0.013876],[0.499969 0.488106 -0.015541],[0.484916 0.465353 -0.016577],[0.483283 0.458945 -0.014308],[0.485754 0.456656 -0.012424],[0.439408 0.746044 -0.0],[0.464837 0.744931 -0.00515],[0.483006 0.762619 -0.006115],[0.495101 0.783741 -0.006036],[0.505466 0.799543 -0.004926],[0.471534 0.796615 -0.00331],[0.492211 0.821753 -0.005572],[0.505525 0.828748 -0.006997],[0.514543 0.831313 -0.007198],[0.462726 0.806742 -0.001742],[0.485122 0.832756 -0.003666],[0.500166 0.838083 -0.004639],[0.510082 0.836687 -0.004642],[0.458296 0.81051 -0.000726],[0.479808 0.834417 -0.003055],[0.494079 0.83967 -0.003871],[0.50394 0.839008 -0.003599],[0.458097 0.810644 -8.4e-05],[0.475753 0.831538 -0.002025],[0.488115 0.837722 -0.002121],[0.497595 0.838309 -0.001418]
24,0.8,[0.487139 0.220551 0.006607],[0.504904 0.222409 0.003671],[0.528154 0.223896 0.003888],[0.546105 0.224053 0.00715],[0.499978 0.284329 0.000331],[0.531893 0.28498 0.000607],[0.49074 0.199251 -0.001934],[0.542999 0.203009 -0.001573],[0.526579 0.486528 -0.0],[0.517011 0.474032 -0.003372],[0.501063 0.454153 -0.006164],[0.485353 0.438014 -0.008718],[0.471864 0.427398 -0.009909],[0.500014 0.415091 -0.001961],[0.478259 0.394601 -0.005873],[0.477299 0.408073 -0.009545],[0.484929 0.420048 -0.011316],[0.49617 0.418058 -0.0019],[0.474038 0.399205 -0.004313],[0.47357 0.410051 -0.006704],[0.480602 0.421412 -0.007861],[0.491994 0.425801 -0.002102],[0.471638 0.409174 -0.002951],[0.472104 0.418615 -0.002054],[0.478129 0.428596 -0.001505],[0.488411 0.435765 -0.002569],[0.473204 0.421381 -0.002799],[0.474072 0.429188 -0.000212],[0.479209 0.437736 0.002234],[0.438123 0.747552 -0.0],[0.464305 0.745393 -0.004304],[0.482959 0.763024 -0.005154],[0.495167 0.783676 -0.005182],[0.505515 0.798901 -0.004153],[0.472554 0.796342 -0.002317],[0.492795 0.822748 -0.00532],[0.506433 0.829148 -0.007516],[0.515649 0.829518 -0.008006],[0.463642 0.806229 -0.001284],[0.485121 0.832663 -0.003421],[0.500137 0.837846 -0.004825],[0.510473 0.835647 -0.005129],[0.458941 0.810174 -0.000843],[0.479962 0.8341 -0.003317],[0.494313 0.83939 -0.004383],[0.504694 0.837981 -0.004245],[0.458487 0.810564 -0.000698],[0.476205 0.831344 -0.002577],[0.488822 0.837805 -0.002667],[0.498691 0.838063 -0.001954]
25,0.83333,[0.487837 0.220179 0.005878],[0.505562 0.221935 0.003143],[0.528389 0.223321 0.003526],[0.546167 0.223411 0.006817],[0.500299 0.284558 0.000969],[0.53292 0.284827 0.001518],[0.491491 0.199505 -0.002959],[0.542955 0.203106 -0.002265],[0.516504 0.475002 0.0],[0.514805 0.443966 0.001779],[0.501806 0.420337 0.001568],[0.487823 0.405235 0.000679],[0.477173 0.394115 -0.000952],[0.492199 0.416648 -0.003852],[0.47584 0.395074 -0.008315],[0.46539 0.384545 -0.0114],[0.457484 0.378234 -0.013272],[0.482926 0.429864 -0.007332],[0.466213 0.405906 -0.010342],[0.454411 0.393451 -0.012305],[0.44545 0.385094 -0.013959],[0.476117 0.446726 -0.010632],[0.45904 0.424858 -0.013163],[0.448001 0.412379 -0.01483],[0.439912 0.402591 -0.016569],[0.471145 0.465881 -0.013574],[0.459101 0.452679 -0.016584],[0.450895 0.442916 -0.017463],[0.444289 0.433985 -0.018045],[0.438561 0.747555 -0.0],[0.463699 0.744316 -0.004725],[0.482033 0.762698 -0.005215],[0.494373 0.783622 -0.004705],[0.5049 0.798601 -0.003166],[0.472696 0.795317 -0.00282],[0.492484 0.820439 -0.005096],[0.505832 0.827891 -0.006417],[0.515247 0.83049 -0.006492],[0.464054 0.805911 -0.001374],[0.485805 0.831478 -0.003199],[0.500898 0.83674 -0.003975],[0.510983 0.835507 -0.003771],[0.459539 0.810225 -0.000484],[0.480601 0.833328 -0.002576],[0.494896 0.838579 -0.0033],[0.504964 0.838109 -0.002942],[0.459296 0.810489 3.3e-05],[0.47632 0.830198 -0.001448],[0.488671 0.836765 -0.001483],[0.498348 0.837634 -0.000761]
